X,CH1,Start,Increment,
Sequence,Volt,-1.38E-05,2.00E-08,
1012,2.60E-02,,0.00002024,2.60E-02
1013,4.59E-03,,0.00002026,4.59E-03
1014,1.99E-02,,0.00002028,1.99E-02
1015,3.06E-03,,0.0000203,3.06E-03
1016,3.06E-02,,0.00002032,3.06E-02
1017,6.13E-03,,0.00002034,6.13E-03
1018,2.14E-02,,0.00002036,2.14E-02
1019,6.13E-03,,0.00002038,6.13E-03
1020,3.22E-02,,0.0000204,3.22E-02
1021,4.59E-03,,0.00002042,4.59E-03
1022,2.30E-02,,0.00002044,2.30E-02
1023,1.53E-03,,0.00002046,1.53E-03
1024,2.30E-02,,0.00002048,2.30E-02
1025,7.66E-03,,0.0000205,7.66E-03
1026,2.45E-02,,0.00002052,2.45E-02
1027,4.59E-03,,0.00002054,4.59E-03
1028,2.60E-02,,0.00002056,2.60E-02
1029,-1.53E-03,,0.00002058,-1.53E-03
1030,2.76E-02,,0.0000206,2.76E-02
1031,6.13E-03,,0.00002062,6.13E-03
1032,3.22E-02,,0.00002064,3.22E-02
1033,3.06E-03,,0.00002066,3.06E-03
1034,2.14E-02,,0.00002068,2.14E-02
1035,1.53E-03,,0.0000207,1.53E-03
1036,2.30E-02,,0.00002072,2.30E-02
1037,0.00E+00,,0.00002074,0.00E+00
1038,1.84E-02,,0.00002076,1.84E-02
1039,6.13E-03,,0.00002078,6.13E-03
1040,2.30E-02,,0.0000208,2.30E-02
1041,3.06E-03,,0.00002082,3.06E-03
1042,2.30E-02,,0.00002084,2.30E-02
1043,1.53E-03,,0.00002086,1.53E-03
1044,2.30E-02,,0.00002088,2.30E-02
1045,4.59E-03,,0.0000209,4.59E-03
1046,1.68E-02,,0.00002092,1.68E-02
1047,3.06E-03,,0.00002094,3.06E-03
1048,2.14E-02,,0.00002096,2.14E-02
1049,4.59E-03,,0.00002098,4.59E-03
1050,2.60E-02,,0.000021,2.60E-02
1051,1.53E-03,,0.00002102,1.53E-03
1052,2.45E-02,,0.00002104,2.45E-02
1053,4.59E-03,,0.00002106,4.59E-03
1054,2.14E-02,,0.00002108,2.14E-02
1055,0.00E+00,,0.0000211,0.00E+00
1056,2.30E-02,,0.00002112,2.30E-02
1057,0.00E+00,,0.00002114,0.00E+00
1058,2.60E-02,,0.00002116,2.60E-02
1059,4.59E-03,,0.00002118,4.59E-03
1060,2.14E-02,,0.0000212,2.14E-02
1061,1.53E-03,,0.00002122,1.53E-03
1062,1.84E-02,,0.00002124,1.84E-02
1063,4.59E-03,,0.00002126,4.59E-03
1064,1.84E-02,,0.00002128,1.84E-02
1065,1.53E-03,,0.0000213,1.53E-03
1066,2.14E-02,,0.00002132,2.14E-02
1067,7.66E-03,,0.00002134,7.66E-03
1068,1.99E-02,,0.00002136,1.99E-02
1069,4.59E-03,,0.00002138,4.59E-03
1070,2.45E-02,,0.0000214,2.45E-02
1071,4.59E-03,,0.00002142,4.59E-03
1072,1.84E-02,,0.00002144,1.84E-02
1073,7.66E-03,,0.00002146,7.66E-03
1074,1.99E-02,,0.00002148,1.99E-02
1075,-1.53E-03,,0.0000215,-1.53E-03
1076,2.45E-02,,0.00002152,2.45E-02
1077,0.00E+00,,0.00002154,0.00E+00
1078,2.60E-02,,0.00002156,2.60E-02
1079,3.06E-03,,0.00002158,3.06E-03
1080,2.60E-02,,0.0000216,2.60E-02
1081,4.59E-03,,0.00002162,4.59E-03
1082,2.45E-02,,0.00002164,2.45E-02
1083,4.59E-03,,0.00002166,4.59E-03
1084,1.99E-02,,0.00002168,1.99E-02
1085,4.59E-03,,0.0000217,4.59E-03
1086,2.14E-02,,0.00002172,2.14E-02
1087,1.53E-03,,0.00002174,1.53E-03
1088,2.30E-02,,0.00002176,2.30E-02
1089,3.06E-03,,0.00002178,3.06E-03
1090,2.30E-02,,0.0000218,2.30E-02
1091,7.66E-03,,0.00002182,7.66E-03
1092,1.99E-02,,0.00002184,1.99E-02
1093,7.66E-03,,0.00002186,7.66E-03
1094,2.30E-02,,0.00002188,2.30E-02
1095,7.66E-03,,0.0000219,7.66E-03
1096,2.30E-02,,0.00002192,2.30E-02
1097,6.13E-03,,0.00002194,6.13E-03
1098,2.45E-02,,0.00002196,2.45E-02
1099,6.13E-03,,0.00002198,6.13E-03
1100,1.99E-02,,0.000022,1.99E-02
1101,1.53E-03,,0.00002202,1.53E-03
1102,2.30E-02,,0.00002204,2.30E-02
1103,0.00E+00,,0.00002206,0.00E+00
1104,2.30E-02,,0.00002208,2.30E-02
1105,0.00E+00,,0.0000221,0.00E+00
1106,2.45E-02,,0.00002212,2.45E-02
1107,7.66E-03,,0.00002214,7.66E-03
1108,2.30E-02,,0.00002216,2.30E-02
1109,0.00E+00,,0.00002218,0.00E+00
