X,CH1,Start,Increment
643,,0.00001286,8.42E-02
644,,0.00001288,1.13E-01
645,,0.0000129,8.88E-02
646,,0.00001292,1.06E-01
647,,0.00001294,7.50E-02
648,,0.00001296,1.18E-01
649,,0.00001298,7.20E-02
650,,0.000013,1.07E-01
651,,0.00001302,7.96E-02
652,,0.00001304,1.10E-01
653,,0.00001306,7.96E-02
654,,0.00001308,1.19E-01
655,,0.0000131,8.12E-02
656,,0.00001312,1.12E-01
657,,0.00001314,8.12E-02
658,,0.00001316,1.12E-01
659,,0.00001318,7.35E-02
660,,0.0000132,1.10E-01
661,,0.00001322,7.96E-02
662,,0.00001324,1.07E-01
663,,0.00001326,7.04E-02
664,,0.00001328,1.04E-01
665,,0.0000133,8.12E-02
666,,0.00001332,1.10E-01
667,,0.00001334,7.96E-02
668,,0.00001336,1.16E-01
669,,0.00001338,7.50E-02
670,,0.0000134,1.13E-01
671,,0.00001342,7.04E-02
672,,0.00001344,1.04E-01
673,,0.00001346,7.66E-02
674,,0.00001348,1.04E-01
675,,0.0000135,7.35E-02
676,,0.00001352,1.06E-01
677,,0.00001354,7.50E-02
678,,0.00001356,1.07E-01
679,,0.00001358,8.27E-02
680,,0.0000136,1.10E-01
681,,0.00001362,8.73E-02
682,,0.00001364,1.12E-01
683,,0.00001366,9.03E-02
684,,0.00001368,1.09E-01
685,,0.0000137,8.27E-02
686,,0.00001372,1.01E-01
687,,0.00001374,8.27E-02
688,,0.00001376,1.13E-01
689,,0.00001378,8.58E-02
690,,0.0000138,1.04E-01
691,,0.00001382,7.66E-02
692,,0.00001384,1.01E-01
693,,0.00001386,8.27E-02
694,,0.00001388,1.12E-01
695,,0.0000139,6.28E-02
696,,0.00001392,1.07E-01
697,,0.00001394,7.81E-02
698,,0.00001396,1.18E-01
699,,0.00001398,7.20E-02
700,,0.000014,1.06E-01
701,,0.00001402,7.81E-02
702,,0.00001404,1.18E-01
703,,0.00001406,7.35E-02
704,,0.00001408,1.10E-01
705,,0.0000141,8.12E-02
706,,0.00001412,1.12E-01
707,,0.00001414,7.96E-02
708,,0.00001416,1.07E-01
709,,0.00001418,8.27E-02
710,,0.0000142,1.10E-01
711,,0.00001422,7.66E-02
712,,0.00001424,1.01E-01
713,,0.00001426,8.42E-02
714,,0.00001428,1.10E-01
715,,0.0000143,7.66E-02
716,,0.00001432,1.23E-01
717,,0.00001434,8.58E-02
718,,0.00001436,1.04E-01
719,,0.00001438,7.66E-02
720,,0.0000144,9.80E-02
721,,0.00001442,7.81E-02
722,,0.00001444,9.95E-02
723,,0.00001446,8.42E-02
724,,0.00001448,1.10E-01
725,,0.0000145,7.04E-02
726,,0.00001452,1.12E-01
727,,0.00001454,8.27E-02
728,,0.00001456,1.10E-01
729,,0.00001458,8.42E-02
730,,0.0000146,1.12E-01
731,,0.00001462,8.73E-02
732,,0.00001464,1.04E-01
733,,0.00001466,7.66E-02
734,,0.00001468,1.06E-01
735,,0.0000147,7.96E-02
736,,0.00001472,1.13E-01
737,,0.00001474,8.73E-02
738,,0.00001476,1.10E-01
739,,0.00001478,8.12E-02
740,,0.0000148,1.04E-01
741,,0.00001482,8.42E-02
742,,0.00001484,1.09E-01
